epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,14185.2,0.60576,0.81032,1.06035,0.91674,0.8915,0.93046,0.84715,0.46077,0.49437,0.94574,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,14342,0.60345,0.80676,1.05891,0.91825,0.89197,0.93068,0.84724,0.46079,0.49349,0.94591,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,14471.2,0.59864,0.79839,1.05662,0.91776,0.89223,0.9316,0.84817,0.4608,0.49245,0.94595,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,14608.7,0.60128,0.80028,1.0573,0.91771,0.89031,0.9311,0.84841,0.46043,0.49163,0.94544,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,14739.9,0.59047,0.77241,1.0471,0.92022,0.89012,0.93156,0.84867,0.46003,0.49066,0.94529,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,14870.8,0.5955,0.79714,1.05719,0.91968,0.88761,0.93113,0.84881,0.45968,0.48949,0.94517,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,14999.2,0.59154,0.7896,1.05369,0.92057,0.88698,0.93063,0.84863,0.45944,0.48877,0.94474,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,15138.8,0.59186,0.7837,1.0552,0.92268,0.88653,0.93103,0.84939,0.45926,0.48765,0.94487,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,15264,0.59094,0.78084,1.05346,0.91919,0.891,0.93144,0.85023,0.45886,0.48636,0.94459,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,15409.8,0.58643,0.76035,1.05023,0.91698,0.89212,0.93163,0.85097,0.45808,0.48496,0.94397,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,15539.9,0.58426,0.75214,1.04425,0.91702,0.89308,0.93166,0.85124,0.45745,0.48388,0.94328,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,15670.8,0.58057,0.75639,1.04702,0.91593,0.89591,0.93203,0.85134,0.45696,0.48283,0.94289,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,15809.2,0.58175,0.74472,1.04535,0.91536,0.89777,0.93234,0.85121,0.45678,0.48201,0.94262,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,15951.4,0.58107,0.74936,1.04378,0.91611,0.89753,0.93241,0.85201,0.45618,0.48125,0.94211,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,16078.7,0.57595,0.73174,1.04137,0.91257,0.90156,0.9323,0.85206,0.45562,0.48006,0.94158,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,16214.1,0.57348,0.73119,1.03953,0.91147,0.90258,0.93245,0.85262,0.45523,0.47925,0.94145,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,16342.3,0.57723,0.73947,1.04237,0.91139,0.90236,0.93263,0.85305,0.45523,0.47895,0.94128,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,16476.3,0.56807,0.72455,1.03715,0.91178,0.9025,0.93272,0.85292,0.45494,0.47836,0.94106,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,16612.8,0.57243,0.72531,1.0388,0.91112,0.90258,0.93247,0.85282,0.45554,0.47735,0.9416,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,16743.2,0.58131,0.74508,1.04703,0.912,0.90142,0.93273,0.85345,0.45541,0.47681,0.94159,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
